,accessRights,associatedReferences,basisOfRecord,bibliographicCitation,catalogNumber,class,classKey,collectionCode,collectionID,continent,coordinateUncertaintyInMeters,country,countryCode,county,crawlId,datasetKey,datasetName,dateIdentified,day,decimalLatitude,decimalLongitude,dynamicProperties,elevation,elevationAccuracy,endDayOfYear,epoch,eventDate,extensions,facts,family,familyKey,fieldNotes,gbifID,genericName,genus,genusKey,geodeticDatum,georeferenceProtocol,georeferenceRemarks,georeferenceSources,higherClassification,higherGeography,identifiedBy,identifier,identifiers,individualCount,infraspecificEpithet,institutionCode,institutionID,issues,key,kingdom,kingdomKey,language,lastCrawled,lastInterpreted,lastParsed,license,lifeStage,locality,locationAccordingTo,locationRemarks,media,modified,month,nomenclaturalCode,occurrenceID,occurrenceRemarks,order,orderKey,ownerInstitutionCode,parentNameUsage,phylum,phylumKey,preparations,previousIdentifications,protocol,publishingCountry,publishingOrgKey,recordedBy,references,relations,rightsHolder,samplingProtocol,scientificName,scientificNameID,sex,source,species,speciesKey,specificEpithet,startDayOfYear,stateProvince,taxonKey,taxonRank,taxonRemarks,type,typeStatus,verbatimEventDate,vernacularName,year
0,,,PRESERVED_SPECIMEN,,450544,Insecta,216,Bumblebee,,NORTH_AMERICA,,Canada,CA,,41,84750258-f762-11e1-a439-00145eb45e9a,,,10.0,49.883,-97.15,,,,,1900,1900-06-10T00:00:00.000+0000,{},[],Apidae,4334,,42590607,Bombus,Bombus,1340278,WGS84,,,,,,,42590607,[],,,CNC,,['GEODETIC_DATUM_ASSUMED_WGS84'],42590607,Animalia,1,,2018-02-28T20:29:55.243+0000,2018-02-28T22:03:55.567+0000,2018-02-28T20:29:55.369+0000,http://creativecommons.org/licenses/by/4.0/legalcode,,Winnipeg,,,,,6.0,,,,Hymenoptera,1457,,,Arthropoda,54,,,DWC_ARCHIVE,CA,09871350-0a23-11d8-b854-b8a03c50a862,J.B.Wallis,,[],,,"Bombus borealis Kirby, 1837",,,,Bombus borealis,1340373.0,borealis,,Manitoba,1340373,SPECIES,,,,,,1900
1,,,PRESERVED_SPECIMEN,,454796,Insecta,216,Bumblebee,,NORTH_AMERICA,,Canada,CA,,41,84750258-f762-11e1-a439-00145eb45e9a,,,1.0,45.417,-75.7,,,,,1900,1900-06-01T00:00:00.000+0000,{},[],Apidae,4334,,42597959,Bombus,Bombus,1340278,WGS84,,,,,,,42597959,[],,,CNC,,['GEODETIC_DATUM_ASSUMED_WGS84'],42597959,Animalia,1,,2018-02-28T20:30:11.669+0000,2018-02-28T22:03:58.854+0000,2018-02-28T20:30:11.694+0000,http://creativecommons.org/licenses/by/4.0/legalcode,,Ottawa,,,,,6.0,,,,Hymenoptera,1457,,,Arthropoda,54,,,DWC_ARCHIVE,CA,09871350-0a23-11d8-b854-b8a03c50a862,J.Fletcher,,[],,,"Bombus fervidus (Fabricius, 1798)",,,,Bombus fervidus,1340478.0,fervidus,,Ontario,1340478,SPECIES,,,,,,1900
2,,,PRESERVED_SPECIMEN,,465984,Insecta,216,Bumblebee,,NORTH_AMERICA,,Canada,CA,,41,84750258-f762-11e1-a439-00145eb45e9a,,,21.0,45.2666,-66.0333,,,,,1900,1900-07-21T00:00:00.000+0000,{},[],Apidae,4334,,239150585,Bombus,Bombus,1340278,WGS84,,,,,,,239150585,[],,,CNC,,['GEODETIC_DATUM_ASSUMED_WGS84'],239150585,Animalia,1,,2018-02-28T20:31:52.421+0000,2018-02-28T22:04:24.122+0000,2018-02-28T20:31:52.437+0000,http://creativecommons.org/licenses/by/4.0/legalcode,,St. John,,,,,7.0,,,,Hymenoptera,1457,,,Arthropoda,54,,,DWC_ARCHIVE,CA,09871350-0a23-11d8-b854-b8a03c50a862,A.G.Leavitt,,[],,,"Bombus vagans Smith, 1854",,,,Bombus vagans,1340472.0,vagans,,New Brunswick,1340472,SPECIES,,,,,,1900
3,,,PRESERVED_SPECIMEN,,451340,Insecta,216,Bumblebee,,NORTH_AMERICA,,Canada,CA,,41,84750258-f762-11e1-a439-00145eb45e9a,,,2.0,49.683,-124.933,,,,,1900,1901-08-02T00:00:00.000+0000,{},[],Apidae,4334,,42595801,Bombus,Bombus,1340278,WGS84,,,,,,,42595801,[],,,CNC,,['GEODETIC_DATUM_ASSUMED_WGS84'],42595801,Animalia,1,,2018-02-28T20:30:07.063+0000,2018-02-28T22:03:58.329+0000,2018-02-28T20:30:07.084+0000,http://creativecommons.org/licenses/by/4.0/legalcode,,Comox,,,,,8.0,,,,Hymenoptera,1457,,,Arthropoda,54,,,DWC_ARCHIVE,CA,09871350-0a23-11d8-b854-b8a03c50a862,,,[],,,"Bombus fervidus (Fabricius, 1798)",,,,Bombus fervidus,1340478.0,fervidus,,British Columbia,1340478,SPECIES,,,,,,1901
4,,,PRESERVED_SPECIMEN,,449881,Insecta,216,Bumblebee,,NORTH_AMERICA,,Canada,CA,,41,84750258-f762-11e1-a439-00145eb45e9a,,,3.0,49.583,-124.883,,,,,1900,1901-08-03T00:00:00.000+0000,{},[],Apidae,4334,,42587858,Bombus,Bombus,1340278,WGS84,,,,,,,42587858,[],,,CNC,,['GEODETIC_DATUM_ASSUMED_WGS84'],42587858,Animalia,1,,2018-02-28T20:29:49.881+0000,2018-02-28T22:03:53.877+0000,2018-02-28T20:29:49.894+0000,http://creativecommons.org/licenses/by/4.0/legalcode,,Union,,,,,8.0,,,,Hymenoptera,1457,,,Arthropoda,54,,,DWC_ARCHIVE,CA,09871350-0a23-11d8-b854-b8a03c50a862,,,[],,,"Bombus bifarius Cresson, 1878",,,,Bombus bifarius,1340393.0,bifarius,,British Columbia,1340393,SPECIES,,,,,,1901
5,,,PRESERVED_SPECIMEN,,449872,Insecta,216,Bumblebee,,NORTH_AMERICA,,Canada,CA,,41,84750258-f762-11e1-a439-00145eb45e9a,,,2.0,49.683,-124.933,,,,,1900,1901-08-02T00:00:00.000+0000,{},[],Apidae,4334,,42587818,Bombus,Bombus,1340278,WGS84,,,,,,,42587818,[],,,CNC,,['GEODETIC_DATUM_ASSUMED_WGS84'],42587818,Animalia,1,,2018-02-28T20:29:49.855+0000,2018-02-28T22:03:53.789+0000,2018-02-28T20:29:49.861+0000,http://creativecommons.org/licenses/by/4.0/legalcode,,Comox,,,,,8.0,,,,Hymenoptera,1457,,,Arthropoda,54,,,DWC_ARCHIVE,CA,09871350-0a23-11d8-b854-b8a03c50a862,,,[],,,"Bombus bifarius Cresson, 1878",,,,Bombus bifarius,1340393.0,bifarius,,British Columbia,1340393,SPECIES,,,,,,1901
6,,,PRESERVED_SPECIMEN,,465142,Insecta,216,Bumblebee,,NORTH_AMERICA,,Canada,CA,,41,84750258-f762-11e1-a439-00145eb45e9a,,,2.0,49.6833,-124.9333,,,,,1900,1901-08-02T00:00:00.000+0000,{},[],Apidae,4334,,42625479,Bombus,Bombus,1340278,WGS84,,,,,,,42625479,[],,,CNC,,['GEODETIC_DATUM_ASSUMED_WGS84'],42625479,Animalia,1,,2018-02-28T20:31:05.090+0000,2018-02-28T22:04:09.667+0000,2018-02-28T20:31:05.118+0000,http://creativecommons.org/licenses/by/4.0/legalcode,,Comox,,,,,8.0,,,,Hymenoptera,1457,,,Arthropoda,54,,,DWC_ARCHIVE,CA,09871350-0a23-11d8-b854-b8a03c50a862,,,[],,,"Bombus sitkensis Nylander, 1848",,,,Bombus sitkensis,1340328.0,sitkensis,,British Columbia,1340328,SPECIES,,,,,,1901
7,,,PRESERVED_SPECIMEN,,USNMENT1005056,Insecta,216,Entomology,,,,Canada,CA,[Not Stated],40,821cc27a-e3bb-4bc5-ac34-89ada245069d,NMNH Extant Biology,,10.0,45.3,-79.0,,,,222,1900,1901-08-10T00:00:00.000+0000,{},[],Apidae,4334,,1320472307,Bombus,Bombus,1340278,WGS84,Google Earth,,,"Animalia, Arthropoda, Insecta, Hymenoptera, Apidae, Apinae","Canada, Ontario, [Not Stated]",Franklin,http://n2t.net/ark:/65665/390a4e9ec-1e30-45c4-9809-ea508ce4edb4,[],1.0,,USNM,http://biocol.org/urn:lsid:biocol.org:col:34871,['GEODETIC_DATUM_ASSUMED_WGS84'],1320472307,Animalia,1,,2018-03-05T19:18:31.016+0000,2018-03-05T19:18:31.458+0000,2018-03-05T19:18:31.039+0000,http://creativecommons.org/publicdomain/zero/1.0/legalcode,ADULT,Lake of Bays at Hungerford,,,"[{'creator': 'Pixel Acuity LLC', 'format': 'image/jpeg', 'source': 'Specimen from Department of Entomology, NMNH, Smithsonian Institution', 'identifier': 'http://collections.nmnh.si.edu/media/index.php?irn=10709194', 'type': 'StillImage', 'title': 'USNMENT01005056'}]",,8.0,,http://n2t.net/ark:/65665/390a4e9ec-1e30-45c4-9809-ea508ce4edb4,Transcribed by digital volunteers Bombus borealis det. Franklin Jan. 1908 Taken in Copulation N.M.,Hymenoptera,1457,,,Arthropoda,54,Pinned,,DWC_ARCHIVE,US,bc092ff0-02e4-11dc-991f-b8a03c50a862,F. Coville,,[],,,"Bombus borealis Kirby, 1837",,,,Bombus borealis,1340373.0,borealis,222,Ontario,1340373,SPECIES,,PhysicalObject,,Aug10-1901,,1901
8,,,PRESERVED_SPECIMEN,,465094,Insecta,216,Bumblebee,,NORTH_AMERICA,,Canada,CA,,41,84750258-f762-11e1-a439-00145eb45e9a,,,2.0,49.6833,-124.9333,,,,,1900,1901-08-02T00:00:00.000+0000,{},[],Apidae,4334,,42625352,Bombus,Bombus,1340278,WGS84,,,,,,,42625352,[],,,CNC,,['GEODETIC_DATUM_ASSUMED_WGS84'],42625352,Animalia,1,,2018-02-28T20:31:04.380+0000,2018-02-28T22:04:09.666+0000,2018-02-28T20:31:04.398+0000,http://creativecommons.org/licenses/by/4.0/legalcode,,Comox,,,,,8.0,,,,Hymenoptera,1457,,,Arthropoda,54,,,DWC_ARCHIVE,CA,09871350-0a23-11d8-b854-b8a03c50a862,,,[],,,"Bombus sitkensis Nylander, 1848",,,,Bombus sitkensis,1340328.0,sitkensis,,British Columbia,1340328,SPECIES,,,,,,1901
9,,,PRESERVED_SPECIMEN,,449564,Insecta,216,Bumblebee,,NORTH_AMERICA,,Canada,CA,,41,84750258-f762-11e1-a439-00145eb45e9a,,,24.0,50.25,-119.267,,,,,1900,1901-04-24T00:00:00.000+0000,{},[],Apidae,4334,,42586479,Bombus,Bombus,1340278,WGS84,,,,,,,42586479,[],,,CNC,,['GEODETIC_DATUM_ASSUMED_WGS84'],42586479,Animalia,1,,2018-02-28T20:29:46.987+0000,2018-02-28T22:03:53.136+0000,2018-02-28T20:29:46.996+0000,http://creativecommons.org/licenses/by/4.0/legalcode,,Vernon,,,,,4.0,,,,Hymenoptera,1457,,,Arthropoda,54,,,DWC_ARCHIVE,CA,09871350-0a23-11d8-b854-b8a03c50a862,,,[],,,"Bombus bifarius Cresson, 1878",,,,Bombus bifarius,1340393.0,bifarius,,British Columbia,1340393,SPECIES,,,,,,1901
